"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","UVI Max","UVI Max Time","Cloud Amount"
"13","1005.9","1009.0","1006.7","2022/08/13 00:01:00","1004.5","2022/08/13 15:43:00","29.2","33.0","2022/08/13 15:11:00","26.2","2022/08/13 04:29:00","24.3","75","59","2022/08/13 15:01:00","2.1","90","7.8","280","2022/08/13 15:17:00","0.0","0.0","0.0","--","0.0","--","8.1","62.1","21.62","29.0","14","2022/08/13 13:00:00","5.8"
"14","1004.9","1007.9","1006.1","2022/08/14 00:01:00","1003.5","2022/08/14 16:11:00","30.2","33.6","2022/08/14 13:48:00","26.8","2022/08/14 05:54:00","24.2","71","59","2022/08/14 14:52:00","2.3","310","9.1","290","2022/08/14 14:37:00","0.0","0.0","0.0","--","0.0","--","7.7","59.8","20.89","62.0","12","2022/08/14 14:00:00","4.4"
"15","1004.1","1007.2","1005.1","2022/08/15 21:49:00","1002.9","2022/08/15 13:51:00","28.8","33.1","2022/08/15 13:36:00","24.9","2022/08/15 15:05:00","24.4","78","55","2022/08/15 13:57:00","2.0","120","8.7","120","2022/08/15 14:56:00","20.5","2.5","5.5","2022/08/15 14:51:00","18.5","2022/08/15 14:33:00","2.8","21.5","12.11","24.0","8","2022/08/15 14:00:00","8.2"
"16","1004.3","1007.4","1006.0","2022/08/16 22:42:00","1002.8","2022/08/16 14:42:00","28.8","33.9","2022/08/16 11:34:00","26.1","2022/08/16 19:49:00","24.5","78","53","2022/08/16 11:28:00","2.0","20","9.7","340","2022/08/16 14:31:00","19.0","2.1","7.0","2022/08/16 14:02:00","14.5","2022/08/16 14:02:00","6.9","53.7","18.03","22.0","11","2022/08/16 11:00:00","5.4"
"17","1004.8","1007.9","1006.4","2022/08/17 21:48:00","1002.9","2022/08/17 15:31:00","28.5","32.2","2022/08/17 11:51:00","25.4","2022/08/17 19:30:00","25.0","82","63","2022/08/17 11:52:00","2.6","220","9.3","240","2022/08/17 14:37:00","28.0","4.3","10.5","2022/08/17 17:41:00","17.0","2022/08/17 17:43:00","4.2","32.4","18.91","40.0","13","2022/08/17 13:00:00","7.2"
"18","1004.5","1007.6","1005.8","2022/08/18 22:53:00","1003.0","2022/08/18 04:12:00","27.1","31.1","2022/08/18 10:22:00","25.2","2022/08/18 19:15:00","24.9","88","67","2022/08/18 09:57:00","1.9","90","7.9","170","2022/08/18 17:41:00","46.5","3.6","9.5","2022/08/18 13:03:00","29.0","2022/08/18 12:47:00","1.0","7.8","8.92","22.0","7","2022/08/18 10:00:00","9.8"
"19","1005.4","1008.5","1007.9","2022/08/19 22:15:00","1003.8","2022/08/19 02:35:00","29.1","32.5","2022/08/19 12:24:00","25.6","2022/08/19 03:39:00","24.4","76","61","2022/08/19 09:21:00","4.8","180","14.3","170","2022/08/19 09:23:00","0.0","0.0","0.0","--","0.0","--","11.7","91.5","26.61","45.0","14","2022/08/19 13:00:00","3.0"
"20","1007.2","1010.2","1008.5","2022/08/20 21:33:00","1006.1","2022/08/20 15:31:00","30.0","33.3","2022/08/20 12:09:00","27.3","2022/08/20 03:42:00","24.2","72","52","2022/08/20 11:32:00","2.6","260","8.0","250","2022/08/20 13:49:00","0.0","0.0","0.0","--","0.0","--","11.9","93.3","26.81","20.0","13","2022/08/20 12:00:00","1.6"
"21","1005.7","1008.7","1007.7","2022/08/21 00:01:00","1004.3","2022/08/21 15:10:00","30.0","33.0","2022/08/21 14:10:00","27.3","2022/08/21 05:18:00","24.3","72","53","2022/08/21 11:38:00","2.6","300","9.5","310","2022/08/21 14:37:00","0.0","0.0","0.0","--","0.0","--","10.9","85.6","25.90","28.0","13","2022/08/21 12:00:00","7.4"
"22","1003.6","1006.6","1005.2","2022/08/22 09:10:00","1001.8","2022/08/22 17:16:00","30.5","33.4","2022/08/22 13:08:00","28.2","2022/08/22 05:08:00","25.5","75","63","2022/08/22 10:50:00","2.0","190","7.2","320","2022/08/22 14:43:00","0.0","0.0","0.0","--","0.0","--","11.2","88.1","26.50","43.0","14","2022/08/22 13:00:00","3.0"
"23","1002.6","1005.6","1004.3","2022/08/23 09:13:00","1000.4","2022/08/23 17:11:00","31.1","34.3","2022/08/23 14:23:00","29.2","2022/08/23 05:22:00","25.2","71","55","2022/08/23 15:03:00","3.2","340","9.4","320","2022/08/23 13:42:00","0.0","0.0","0.0","--","0.0","--","9.2","72.5","23.74","32.0","13","2022/08/23 13:00:00","5.2"
"24","1003.4","1006.4","1007.1","2022/08/24 23:12:00","1000.6","2022/08/24 03:16:00","30.5","32.2","2022/08/24 14:41:00","29.0","2022/08/24 05:34:00","24.5","71","57","2022/08/24 18:44:00","2.8","150","11.3","160","2022/08/24 18:09:00","T","0.8","T","2022/08/24 00:06:00","T","2022/08/24 00:06:00","2.2","17.4","11.25","15.6","8","2022/08/24 12:00:00","8.6"
"25","1007.8","1010.8","1010.4","2022/08/25 22:01:00","1005.6","2022/08/25 03:38:00","30.5","33.7","2022/08/25 10:52:00","28.0","2022/08/25 05:45:00","23.7","67","52","2022/08/25 11:26:00","3.8","190","11.6","200","2022/08/25 14:15:00","0.0","0.0","0.0","--","0.0","--","11.1","86.8","25.60","46.0","14","2022/08/25 12:00:00","3.6"
"26","1008.1","1011.1","1009.9","2022/08/26 00:01:00","1006.5","2022/08/26 15:08:00","30.6","33.4","2022/08/26 11:48:00","28.1","2022/08/26 04:24:00","24.4","70","57","2022/08/26 15:44:00","2.7","310","9.0","310","2022/08/26 12:28:00","0.0","0.0","0.0","--","0.0","--","11.2","88.7","25.86","40.0","13","2022/08/26 13:00:00","7.0"
"27","1005.9","1008.9","1008.5","2022/08/27 00:01:00","1003.3","2022/08/27 16:22:00","30.7","33.9","2022/08/27 13:16:00","28.6","2022/08/27 04:20:00","25.8","76","59","2022/08/27 13:11:00","2.1","240","6.6","240","2022/08/27 13:02:00","0.0","0.0","0.0","--","0.0","--","8.7","69.0","22.87","43.0","13","2022/08/27 13:00:00","6.6"
"28","1006.5","1009.5","1008.5","2022/08/28 22:47:00","1004.8","2022/08/28 04:24:00","29.2","34.2","2022/08/28 10:33:00","25.8","2022/08/28 16:56:00","24.9","78","56","2022/08/28 10:34:00","2.0","60","9.4","100","2022/08/28 15:14:00","6.5","4.2","1.0","2022/08/28 15:36:00","3.5","2022/08/28 15:36:00","5.2","40.9","14.46","15.4","12","2022/08/28 12:00:00","6.6"
"29","1007.4","1010.5","1008.6","2022/08/29 11:11:00","1006.0","2022/08/29 16:03:00","28.7","32.1","2022/08/29 12:57:00","26.1","2022/08/29 00:15:00","24.7","79","67","2022/08/29 10:57:00","2.0","260","7.5","250","2022/08/29 15:08:00","T","0.1","T","2022/08/29 17:39:00","T","2022/08/29 17:39:00","8.0","63.7","21.22","30.0","11","2022/08/29 13:00:00","5.4"
"30","1005.6","1008.6","1008.0","2022/08/30 00:01:00","1003.6","2022/08/30 15:21:00","29.8","33.0","2022/08/30 13:24:00","27.4","2022/08/30 05:30:00","25.1","76","64","2022/08/30 11:25:00","2.4","130","7.7","260","2022/08/30 12:11:00","T","0.1","T","2022/08/30 18:54:00","T","2022/08/30 18:54:00","8.2","64.6","23.44","22.0","13","2022/08/30 12:00:00","6.2"
"31","1003.1","1006.1","1004.8","2022/08/31 00:01:00","1000.7","2022/08/31 15:30:00","30.0","33.7","2022/08/31 12:39:00","27.3","2022/08/31 05:41:00","24.6","73","56","2022/08/31 12:30:00","2.3","130","8.0","340","2022/08/31 15:33:00","0.0","0.0","0.0","--","0.0","--","7.2","57.5","19.37","16.4","13","2022/08/31 13:00:00","5.8"
